Date,Username,User tag,Content,Mentions,link
"2022-06-25,12:18:20","msk","#0","Anyone on the privy team is welcome!","",""
"2022-06-25,12:26:26","sternhenri","#0","did you create the field with the api or console?","shreenam#0",""
"2022-06-25,12:35:36","nichochar","#0","Has someone found you? I can head over!","msk#0",""
"2022-06-25,12:53:54","shreenam","#0","<@839562594611626045> just helped me fix it , thanks 🙂 .","astasidedown#0、sternhenri#0",""
"2022-06-25,14:27:49","nichochar","#0","<@801970275633332254> thread","harsheyskisses#0",""
"2022-06-25,15:09:55","shreenam","#0","hello . i was able to get the privy pii demo working. Does anyone have some time for a quick chat?","",""
"2022-06-25,15:31:16","sternhenri","#0","Cc <@206487791914188800> <@839562594611626045>","nichochar#0、astasidedown#0",""
"2022-06-25,15:33:42","nichochar","#0","Yes, I can help in a second!","",""
"2022-06-25,15:33:43","nichochar","#0","Where are you ?","",""
"2022-06-25,15:34:18","shreenam","#0","i am in the main hall , near the green couches. in red and gray tshirt.","",""
"2022-06-25,15:39:20","nichochar","#0","Coming","",""
"2022-06-25,15:39:52","imthatcarlos","#0","hey! we're trying to use the privy node lib in a tenderly lambda. runtime is node 14. this is the error we're getting when trying to instantiate the privy client","",""
"2022-06-25,15:39:59","imthatcarlos","#0","```
TypeError [ERR_INVALID_ARG_TYPE]: The ""key.key"" property must be of type string or an instance of Buffer, TypedArray, or DataView. Received an instance of Object
    at new NodeError (internal/errors.js:322:7)
    at prepareAsymmetricKey (internal/crypto/keys.js:288:13)
    at Object.createPrivateKey (internal/crypto/keys.js:349:5)
    at jwtKeyFromApiSecret (/opt/nodejs/node_modules/@privy-io/privy-node/dist/accessToken.js:54:29)
    at createApiSecretSigningFn (/opt/nodejs/node_modules/@privy-io/privy-node/dist/config.js:42:58)
    at new PrivyConfig (/opt/nodejs/node_modules/@privy-io/privy-node/dist/config.js:54:53)
    at new PrivyClient (/opt/nodejs/node_modules/@privy-io/privy-node/dist/client.js:66:9)
```","",""
"2022-06-25,15:40:33","imthatcarlos","#0","both the api + secret are of type string","",""
"2022-06-25,15:41:24","nichochar","#0","Hmm I wonder if we have a min node version req of 16 let me ask a friend brb","",""
"2022-06-25,15:41:31","imthatcarlos","#0","ok ty!","",""
"2022-06-25,15:41:42","imthatcarlos","#0","there's this issue thats old: https://github.com/privy-io/privy-js/issues/19","",""
"2022-06-25,15:43:17","nichochar","#0","I cannot find you! Is the main hall where the entry doors are?","shreenam#0",""
"2022-06-25,15:43:25","nichochar","#0","I have pink shorts <@900105642021355542>","shreenam#0",""
"2022-06-25,16:04:27","nichochar","#0","ok ty","",""
"2022-06-25,16:31:41","kirilligum","#0","Hi, is there a way to use privy to store a public key and allow only to white-listed user to see that public key?","",""
"2022-06-25,16:32:59","astasidedown","#0","Hi <@875633201568161824> yes!","kirilligum#0",""
"2022-06-25,16:33:10","astasidedown","#0","Can I come by and chat more? Where are you?","",""
"2022-06-25,16:36:48","kirilligum","#0","a table next to the main stage","astasidedown#0",""
"2022-06-25,16:36:53","kirilligum","#0","thank you","",""
"2022-06-25,16:37:48","astasidedown","#0","Here! I’m wearing a white shirt","",""
"2022-06-25,16:52:36","astasidedown","#0","<@875633201568161824> https://docs.privy.io/guide/advanced-permissions/advanced-permissions-model","kirilligum#0",""
"2022-06-25,16:52:59","astasidedown","#0","```To give a requester access to a field:

- First, create one or more roles and assign requester IDs to them.
- Then, create an access group, and assign read roles and write roles to it.
- Finally, link the access group to a user's fields.```","",""
"2022-06-25,16:54:38","astasidedown","#0","Happy to swing by anytime!","",""
"2022-06-25,17:08:21","kirilligum","#0","^^^ <@841657844117536788> <@693854707298467890>","nicoacosta.eth#0、jwpark#0",""
"2022-06-25,17:10:12","cenbiliu","#0","hey privy mentors, let me know when y'all have a minute...we're running into a privy issue (?), located on the first floor","",""
"2022-06-25,17:23:27","astasidedown","#0","<@927204056290717756> where are you? I’m by the green couches and can head to where you are","cenbiliu#0",""
"2022-06-25,17:34:33","cenbiliu","#0","<@839562594611626045> sorry just saw it, making progress now!t thanks! will swing by later and say Hi though","astasidedown#0",""
"2022-06-25,17:35:34","astasidedown","#0","No worries, I’m around! Happy to hang out regardless 🙂","",""
"2022-06-25,18:06:20","cenbiliu","#0","<@839562594611626045> still by the green couches?","astasidedown#0",""
"2022-06-25,18:07:42","astasidedown","#0","Moved but let me come find you! Where are you?","",""
"2022-06-25,18:08:42","cenbiliu","#0","by the resgitration area","",""
"2022-06-25,18:08:50","cenbiliu","#0","salmon shorts","",""
"2022-06-25,18:08:56","cenbiliu","#0","grey hoodie","",""
"2022-06-25,18:09:21","astasidedown","#0","Omw!","",""
"2022-06-25,18:10:22","astasidedown","#0","Here!","",""
"2022-06-25,18:26:06","aja","#8636","hii can we submit JSON data to privy? or only strings & numbers?","",""
"2022-06-25,19:13:42","sternhenri","#0","Yes you can!","",""
"2022-06-25,19:14:11","sternhenri","#0","JSON, files (photos, videos) and other strings.","",""
"2022-06-25,19:14:16","sternhenri","#0","<@790816005038407692>","aja#8636",""
"2022-06-25,19:18:18","aja","#8636","amazing ! we tried passing JSON data and it showed up as a base64 encoded string instead. how do we read this data? It's not visible in our dashboard either, even after stringifying the object.","",""
"2022-06-25,19:19:38","astasidedown","#0","For now to unblock, I would try stringifying to serialize and deserialize before passing into privy - but will look into it separately!","",""
"2022-06-25,19:27:55","sternhenri","#0","Are you around <@790816005038407692>? Can come to you","aja#8636",""
"2022-06-25,19:58:39","aja","#8636","we got it! no worries 😉 thank you!","",""
"2022-06-25,20:05:13","astasidedown","#0","PSA for folks - in case you encounter errors with high rate requests, our effective rate limit is about 50 data fetches per second (before HSM rate limits kick in)","",""
"2022-06-25,20:41:37","mof3078","#0","i have couple of quick 101 questions, is anyone from Privy around the venue, i can stop by anytime and ask","",""
"2022-06-25,20:54:08","jamalavedra","#0","hey there! when I initialize Privy on my backend with the node package, i get the following error: TypeError [ERR_INVALID_ARG_TYPE]: The \""key.key\"" property must be of type string or an instance of Buffer, TypedArray, or DataView. Received an instance of Object","",""
"2022-06-25,20:56:11","jamalavedra","#0","'''
Any hints on why this is happening? It happens right in
const client = new PrivyClient(
        process.env.PRIVY_API_KEY,
        process.env.PRIVY_API_SECRET
);
'''","",""
"2022-06-25,21:12:50","jamalavedra","#0","hey <@839562594611626045>, are you around? can we chat?","astasidedown#0",""
"2022-06-25,21:19:29","astasidedown","#0","<@691128359853228053> <@206487791914188800> might be - pinging them!","nichochar#0、sternhenri#0",""
"2022-06-25,21:20:23","astasidedown","#0","Also feel free to pop your issue here and we'll help async too!","",""
"2022-06-25,21:20:38","jamalavedra","#0","this","",""
