Date,Username,User tag,Content,Mentions,link
"2023-07-22,17:45:12","0xlucian","#0","Hi thanks for the valuable feedback. Could you please provide some more context like, tx ids?","anonverse#0",""
"2023-07-22,18:25:54","anonverse","#0","user approval to call a function: 4.83s - transaction: https://neonscan.org/tx/0xa8ebc43bd4a6cb030a54e49b62b75a72521a791f2b517dae996692332a29d33f
calling our add_task solidity function: 6.16s - transaction: https://neonscan.org/tx/0xd3786a861023ffa935e096e59f4d6db664afcd5dbb2096d58c7393d4a1fe063c","",""
"2023-07-23,02:50:32","0xlucian","#0","Thanks alot. Could you please also shre which RPC did you use to submit those txs","anonverse#0",""
"2023-07-23,03:36:42",".potiphar","#0","Do we go to the Neon EVM booth to show you our project?","",""
"2023-07-23,04:36:26","0xlucian","#0","Yeah I am here",".potiphar#0",""
"2023-07-23,07:24:18","0xlucian","#0","<@1035563085206925362> could your provide RPC for mainnet you used?","anonverse#0",""
"2023-07-24,07:54:40","themvp07","#0","Hello.. someone of Neon still in Paris? i would like to talk and share some topics in person. Maybe sharing a coffe 🙂","",""
"2023-07-24,09:17:56","0xlucian","#0","Unfortunatelly nope 😦 Feel free to DM me we can arrange a meeting","",""
"2023-09-13,13:27:03","awliang","#0","","","https://cdn.discordapp.com/attachments/1096073293125140523/1151569749310972004/image.png"
"2023-09-16,13:06:17","awliang","#0","Hello and welcome to the <#1096073293125140523> channel <:nfteth:822186186016948314>

Feel free to reach out to the Neon Labs Team at any point with your questions!

👀 **ABOUT**
**Neon EVM** is a solution for anyone looking to scale Ethereum dApps on Solana in a developer-friendly manner and tap into Solana's vibrant ecosystem. It is a fully Ethereum-compatible environment on Solana


🏆 **PRIZE OVERVIEW**

Best use of Neon EVM
🥇First place - $2 500
🥈Second place - $1 500
🥉Third place - $1 000

🌐 Special prize - $1 000 for those who make the most transactions on Neon EVM.

🏆Open track prize pool - $4 000. Pool prize to be evenly distributed among all hackathon projects that are willing to submit dApps on Neon EVM.

**↓ Full Prize Breakdown Here ↓**
https://ethglobal.com/events/newyork2023/prizes


🚀 **WORKSHOP**
🛠️ Neon EVM: Ethereum dApps deployed & run on Solana
Time: 02:20 PM EDT – Sep 22, 2023
Location: Workshop Room 2


🔗 **IMPORTANT LINKS**
https://docs.neonfoundation.io/
https://neonfaucet.org/
https://neonscan.org/
https://chainlist.org/chain/245022926
https://github.com/neonscan/hardhat-integrate","",""
